"  _Vind,_kias ","   _Vind,_keas ","   Vtrue,_ktas ","   Vtrue,_ktgs ","   _Vind,__mph ","   Vtrue,mphas ","   Vtrue,mphgs ","   SLprs,_inHG ","   SLtmp,_degC ","   _wind,speed ","   _wind,__dir ","   __trb,_locl ","   _prec,_locl ","   _hail,_locl ","   AMprs,_inHG ","   AMtmp,_degC ","   LEtmp,_degC ","   _dens,ratio ","   ____A,_ktas ","   ____Q,__psf ","   gravi,_fts2 ","   baro_,_inHG ","   edens,_part ","   vacum,ratio ","   vacum,ratio ","   _elec,ratio ","   _elec,ratio ","   _AHRS,ratio ","   _AHRS,ratio ","   __lat,__deg ","   __lon,__deg ","   __alt,ftmsl ","   __alt,ftagl ","   ___on,runwy ","   __alt,__ind ","   __lat,orign ","   __lon,orign ", 
0,0.1184,0.1185,0.1185,0,0.13637,0.13637,29.91262,15.068,0,0,0,0,0,29.85963,14.98069,14.98068,0.99823,661.39551,0.00005,32.14645,29.86,0.99816,1.29849,1.29849,1,1,1,1,-37.02663,-73.50541,44.06325,0.81658,1,-8.92315,-37.5,-74, 
0,0.1038,0.10389,0.10389,0,0.11956,0.11956,29.91262,15.068,0,0,0,0,0,29.85963,14.98069,14.98068,0.99823,661.39551,0.00004,32.14645,29.86,0.99818,1.29361,1.29361,1,1,1,1,-37.02663,-73.50541,44.06395,0.81724,1,-8.21488,-37.5,-74, 
0,0.11544,0.11554,0.11553,0,0.13296,0.13296,29.91262,15.068,0,0,0,0,0,29.85963,14.98067,14.98068,0.99823,661.39551,0.00005,32.14645,29.86,0.99817,1.28944,1.28944,1,1,1,1,-37.02663,-73.50541,44.0746,0.82792,1,-7.63233,-37.5,-74, 
0,0.1085,0.1086,0.10859,0,0.12497,0.12497,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0.00004,32.14645,29.86,0.99817,1.28524,1.28524,1,1,1,1,-37.02663,-73.50541,44.09063,0.84374,1,-7.07385,-37.5,-74, 
0,0.07704,0.07711,0.07711,0,0.08874,0.08874,29.91262,15.068,0,0,0,0,0,29.85959,14.98061,14.98062,0.99823,661.39539,0.00002,32.14645,29.86,0.99819,1.28127,1.28127,1,1,1,1,-37.02663,-73.50541,44.10407,0.85721,1,-6.57068,-37.5,-74, 
0,0.05573,0.05578,0.05578,0,0.06419,0.06419,29.91262,15.068,0,0,0,0,0,29.85959,14.9806,14.98059,0.99823,661.39539,0.00001,32.14645,29.86,0.9982,1.27835,1.27835,1,1,1,1,-37.02663,-73.50541,44.10878,0.86183,1,-6.21942,-37.5,-74, 
0,0.06348,0.06354,0.06353,0,0.07312,0.07312,29.91262,15.068,0,0,0,0,0,29.85959,14.98061,14.98062,0.99823,661.39539,0.00001,32.14645,29.86,0.9982,1.27518,1.27518,1,1,1,1,-37.02663,-73.50541,44.10632,0.85945,1,-5.85663,-37.5,-74, 
0,0.07402,0.07409,0.07409,0,0.08526,0.08526,29.91262,15.068,0,0,0,0,0,29.8596,14.98062,14.98062,0.99823,661.39539,0.00002,32.14645,29.86,0.99819,1.27239,1.27239,1,1,1,1,-37.02663,-73.50541,44.09838,0.85116,1,-5.55639,-37.5,-74, 
0,0.06721,0.06727,0.06726,0,0.07741,0.07741,29.91262,15.068,0,0,0,0,0,29.85961,14.98064,14.98065,0.99823,661.39545,0.00002,32.14645,29.86,0.99819,1.26989,1.26989,1,1,1,1,-37.02663,-73.50541,44.08952,0.84224,1,-5.30291,-37.5,-74, 
0,0.05214,0.05218,0.05218,0,0.06005,0.06005,29.91262,15.068,0,0,0,0,0,29.85962,14.98065,14.98065,0.99823,661.39545,0.00001,32.14645,29.86,0.9982,1.26801,1.26801,1,1,1,1,-37.02663,-73.50541,44.08426,0.83693,1,-5.12423,-37.5,-74, 
