"  _Vind,_kias ","   _Vind,_keas ","   Vtrue,_ktas ","   Vtrue,_ktgs ","   _Vind,__mph ","   Vtrue,mphas ","   Vtrue,mphgs ","   alpha,__deg ","   _beta,__deg ","   hpath,__deg ","   vpath,__deg ","   _slip,__deg ","   __lat,__deg ","   __lon,__deg ","   __alt,ftmsl ","   __alt,ftagl ","   ___on,runwy ","   __alt,__ind ","   __lat,orign ","   __lon,orign ","   wing1,_lift ","   wing1,_lift ","   wing2,_lift ","   wing2,_lift ","   wing3,_lift ","   wing3,_lift ","   wing1,_drag ","   wing1,_drag ","   wing2,_drag ","   wing2,_drag ","   wing3,_drag ","   wing3,_drag ", 
97.45353,96.23076,97.35899,97.35633,112.14752,112.03873,112.03873,1.3786,-0.10866,5.71873,-0.42361,-0.46516,-36.4873,-73.05257,1006.02759,1003.40356,0,997.89435,-36.5,-73,641.68268,630.12897,602.09558,608.16339,15.4534,15.09984,32.3181,31.45864,17.99308,18.27508,0.62965,0.63061, 
96.78678,95.47014,96.58847,96.58524,111.38024,111.15203,111.15204,1.4792,0.02315,5.74183,-0.46959,-0.38088,-36.48706,-73.05254,1005.33929,1002.7215,0,997.34216,-36.5,-73,636.31226,628.80835,604.86749,610.57654,16.88758,15.29182,32.3582,31.79483,18.24784,18.52106,0.62876,0.62012, 
96.12789,94.7008,95.80914,95.80532,110.62201,110.25519,110.25519,1.58091,0.14001,5.75279,-0.51081,-0.30765,-36.48683,-73.05251,1004.63873,1002.02637,0,996.76086,-36.5,-73,631.21985,627.25232,607.32361,612.72565,18.18598,15.56182,32.41918,32.12244,18.50067,18.76798,0.62838,0.61056, 
95.43114,93.90456,95.00254,94.99816,109.8202,109.32698,109.32697,1.68462,0.2616,5.75668,-0.55009,-0.23149,-36.48661,-73.05248,1003.90179,1001.29443,0,996.13123,-36.5,-73,622.73175,623.94855,609.33655,614.54114,19.32876,15.9705,32.31464,32.42379,18.75031,19.01538,0.62636,0.59968, 
94.65882,93.06145,94.14845,94.1431,108.93143,108.3441,108.34411,1.78962,0.3048,5.76118,-0.61166,-0.13495,-36.4864,-73.05246,1003.08179,1000.47919,0,995.42908,-36.5,-73,619.69965,621.8125,610.35437,615.68616,20.30841,16.47316,32.49345,32.67392,18.98362,19.24857,0.62592,0.59438, 
93.86523,92.21899,93.29496,93.28906,108.01819,107.36193,107.36193,1.93325,0.25315,5.74859,-0.64407,-0.0669,-36.48618,-73.05243,1002.21259,999.61432,0,994.67847,-36.5,-73,620.22931,622.10547,615.95428,620.77997,21.07327,17.91696,33.01367,33.16894,19.45049,19.68572,0.62413,0.59673, 
93.04766,91.37772,92.44267,92.4367,107.07734,106.38113,106.38113,2.06036,0.17952,5.71657,-0.65153,-0.02915,-36.48597,-73.05241,1001.33185,998.73749,0,993.87689,-36.5,-73,619.29919,620.61877,619.32135,623.48975,21.49476,19.28241,33.40611,33.51251,19.82457,20.02801,0.62044,0.59962, 
92.20251,90.52944,91.58332,91.57753,106.10475,105.39221,105.39221,2.18797,0.14593,5.66905,-0.64447,-0.00995,-36.48576,-73.05238,1000.45056,997.8598,0,993.02771,-36.5,-73,617.86462,619.02863,622.06512,625.80255,22.11025,20.37295,33.76582,33.8659,20.18338,20.37311,0.61856,0.60119, 
91.34177,89.67953,90.72237,90.71693,105.11424,104.40144,104.40144,2.31403,0.16211,5.61376,-0.62698,0.00446,-36.48555,-73.05235,999.59125,997.00397,0,992.16077,-36.5,-73,615.77301,617.3067,624.0611,627.54761,22.95832,21.11733,34.07098,34.21463,20.52006,20.70477,0.62003,0.60094, 
90.51926,88.84832,89.88043,89.87544,104.1677,103.43256,103.43256,2.43612,0.19372,5.55804,-0.60406,0.02036,-36.48534,-73.05232,998.78949,996.20508,0,991.32025,-36.5,-73,613.32269,615.38617,625.46387,628.7301,23.82693,21.70067,34.33988,34.53962,20.83723,21.01417,0.62298,0.59904, 
