f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
1.67341;55.86280;0.59758;0.87369;0.00476;1.00000;1.00000;99.63145;99.59104;115.58434;115.58433;114.65382;133.01208;133.01210;10.41233;0.28310;0.02719;358.87915;551.05475;532.64252;467.08978;465.90698;-8.87479;8.70910;24.23656;22.96403;12.75418;12.70584;0.62901;0.63418;-43.06836;-48.47729;34.91286;3.45087;3.70737;2.30955
94.69562;94.71491;0.01056;0.00560;0.00271;1.00000;1.00000;90.10384;97.37566;113.03909;112.56512;103.68965;130.08307;130.08305;11.47003;0.40483;0.03529;9.92955;680.19495;649.98859;624.11157;623.64874;12.62743;19.05794;34.59841;32.26564;18.82122;18.70861;0.63739;0.68875;36.09258;-20.58368;6.89578;3.56314;3.43024;1.87528
93.19572;90.71941;0.01073;0.01041;0.00357;1.00000;1.00000;95.42789;94.92772;110.23505;109.16695;109.81645;126.85623;126.85622;11.49812;0.41236;0.03586;10.76717;660.71436;624.03253;601.92841;605.71155;10.48763;21.78696;33.97921;31.19186;18.24375;18.39997;0.60265;0.68687;37.74631;-21.58534;6.31440;3.41617;3.36417;1.81212
93.79603;94.51796;0.01066;0.00552;0.00253;1.00000;1.00000;92.02540;88.49412;102.85651;101.04912;105.90094;118.36516;118.36516;11.23340;0.37181;0.03310;11.91800;528.19513;502.12302;466.20038;470.80807;5.90402;12.24329;25.59668;23.74849;13.45773;13.61880;0.51190;0.54636;25.15282;-17.16652;4.09980;2.82346;2.82879;1.58837
93.37035;94.42870;0.01071;0.01045;0.00275;1.00000;1.00000;88.51643;84.79126;98.60105;97.12668;101.86288;113.46807;113.46807;11.17891;0.34889;0.03121;13.20196;460.81174;439.72412;399.53976;404.52225;3.39955;8.38978;21.61981;20.20277;11.26713;11.44783;0.46350;0.48382;16.85711;-14.59036;2.66393;2.49376;2.55120;1.46515
93.68390;88.89679;0.01067;0.01049;0.00275;1.00000;1.00000;84.94608;81.50921;94.82247;93.95995;97.75421;109.11976;109.11975;11.26707;0.34038;0.03021;10.22881;415.37283;400.65244;361.55524;364.91464;3.85226;5.69260;19.25653;18.28546;10.13183;10.25720;0.42768;0.43521;9.73710;-11.90926;0.19974;2.22566;2.30715;1.31905
92.94770;95.01188;0.01076;0.01051;0.00349;1.00000;1.00000;81.75800;79.05909;91.99763;91.64979;94.08543;105.86900;105.86900;11.38850;0.36595;0.03213;9.02987;411.21106;397.99368;370.10373;370.74619;6.43817;7.69303;19.75960;18.83337;10.65092;10.67509;0.41004;0.41855;11.55130;-9.29374;0.13964;2.11175;2.16127;1.23104
88.70024;75.66586;0.01127;0.01051;0.00392;1.00000;1.00000;79.34528;77.56477;90.27283;90.19193;91.30892;103.88412;103.88412;11.44004;0.39598;0.03461;8.95975;422.18448;406.31488;388.04932;387.26340;8.36119;10.88127;21.14549;19.96583;11.56577;11.51491;0.40548;0.42584;18.23090;-11.03248;0.88782;2.17350;2.13331;1.18449
92.73460;93.14456;0.01078;0.01105;0.00424;1.00000;1.00000;77.84005;76.99788;89.61788;89.61723;89.57673;103.13042;103.13042;11.49451;0.41584;0.03618;9.00918;436.49319;415.08438;401.35361;400.15195;8.80977;13.73531;22.46666;20.81849;12.24750;12.15708;0.40604;0.44818;26.20209;-15.34823;1.88400;2.29085;2.20458;1.23073
92.36601;96.76795;0.01083;0.01050;0.00410;1.00000;1.00000;77.23555;77.29562;89.96155;89.92096;88.88109;103.52590;103.52589;11.31028;0.42063;0.03719;8.86689;449.94815;420.69684;406.41022;405.80173;7.66647;15.70014;23.31496;21.05901;12.44167;12.36458;0.40846;0.47599;35.41672;-22.68304;3.08636;2.55316;2.43005;1.34134
