f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__lat,__deg;__lon,__deg;__alt,ftmsl;__alt,ftagl;___on,runwy;__alt,__ind;__lat,orign;__lon,orign;_lift,___lb;_drag,___lb;_side,___lb;____L,lb-ft;____M,lb-ft;____N,lb-ft;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
94.26624;99.20634;0.01061;0.01077;0.00326;1.00000;1.00000;88.66518;88.19462;89.23820;89.15547;102.03407;102.69349;102.69350;2.93464;0.25943;5.73301;-2.46736;0.00696;-36.73063;-73.08230;1013.32477;981.61584;0.00000;1011.49963;-36.50000;-73.00000;2729.90088;233.22292;1.96300;68.35871;-166.74762;-31.93343;11.70511;0.51198;0.04374;7.73857;648.05481;647.10284;671.48663;668.31500;28.82811;25.24509;38.08693;38.02382;23.69488;23.51560;0.68312;0.63874;14.73800;13.38805;-2.13724;2.58321;2.70216;1.24630
92.37921;96.66505;0.01082;0.01040;0.00320;1.00000;1.00000;88.08988;87.65834;88.68875;88.65715;101.37203;102.06120;102.06120;3.02904;-0.02173;5.58013;-1.52962;0.01152;-36.73022;-73.08224;1008.07996;997.21912;0.00000;1004.58240;-36.50000;-73.00000;2744.30420;235.88002;-5.16114;105.16404;-194.77222;-21.64445;11.63432;0.52100;0.04478;8.77660;654.85974;648.31256;673.20520;669.12329;28.42051;27.02746;38.86603;38.24186;24.04227;23.73073;0.67534;0.66306;24.15971;6.46471;-0.89807;2.72261;2.68085;1.27141
91.29193;96.73987;0.01095;0.01062;0.00351;1.00000;1.00000;87.55136;87.17513;88.19617;88.18989;100.75231;101.49435;101.49435;2.95713;-0.67482;5.37172;-0.68416;-0.11040;-36.72982;-73.08220;1005.24640;999.90186;0.00000;999.50531;-36.50000;-73.00000;2698.28296;233.23415;-20.56007;138.59523;-212.32559;25.53221;11.56899;0.51796;0.04477;9.10657;653.73462;636.25726;657.87726;653.48254;24.65051;29.29249;38.62622;36.97393;23.31246;22.95959;0.62661;0.69799;34.24843;-3.25804;3.53970;2.92717;2.70739;1.37427
89.69136;78.02747;0.01115;0.01045;0.00336;1.00000;1.00000;87.09062;86.86006;87.87619;87.87611;100.22210;101.12612;101.12612;2.83593;-1.17369;5.16244;-0.08235;-0.30116;-36.72942;-73.08215;1004.30786;1000.07794;0.00000;996.60699;-36.50000;-73.00000;2645.74414;229.78601;-29.54524;170.03702;-224.64424;23.24272;11.51395;0.51156;0.04443;9.17939;652.22815;623.73456;639.71332;636.61554;21.48688;30.30428;38.16753;35.56165;22.35099;22.08120;0.59413;0.71936;45.16225;-14.66185;4.30537;3.18217;2.88303;1.52363
89.40408;78.03964;0.01119;0.01062;0.00358;1.00000;1.00000;86.79597;86.81452;87.83055;87.82937;99.88302;101.07360;101.07360;2.68434;-1.59646;5.01528;0.29776;-0.49450;-36.72901;-73.08211;1004.63281;1000.65039;0.00000;995.52386;-36.50000;-73.00000;2599.92212;226.80788;-36.60931;202.05826;-242.96140;17.68483;11.46310;0.50323;0.04390;9.13796;652.80054;613.45807;622.54382;621.17944;18.62267;30.80328;37.72493;34.22299;21.38120;21.20471;0.57344;0.73618;56.01255;-25.82267;4.45688;3.55128;3.10913;1.67642
93.64099;92.37022;0.01068;0.01047;0.00337;1.00000;1.00000;86.76403;87.12220;88.14321;88.13991;99.84627;101.43340;101.43341;2.51697;-1.97635;4.93377;0.49701;-0.69965;-36.72861;-73.08206;1005.69684;1001.75183;0.00000;995.71045;-36.50000;-73.00000;2569.31860;225.37094;-43.70725;237.63049;-257.34372;32.90279;11.40040;0.49380;0.04331;9.02865;656.95709;607.92358;609.37048;608.68781;15.75357;31.37907;37.40075;33.14187;20.54460;20.41822;0.56114;0.75534;64.04427;-34.42606;5.80188;3.88296;3.36415;1.83963
93.67359;97.48489;0.01068;0.01063;0.00347;1.00000;1.00000;87.07573;87.81027;88.84122;88.83635;100.20496;102.23666;102.23666;2.33997;-2.23454;4.93140;0.60053;-0.87217;-36.72820;-73.08202;1007.14374;1003.23718;0.00000;996.67487;-36.50000;-73.00000;2555.06226;224.76355;-46.37300;275.38583;-277.01169;-7.70793;11.36778;0.48339;0.04252;8.74780;666.08795;605.06299;599.32251;601.70416;13.75293;31.14371;37.38090;32.25026;19.80665;19.83759;0.56453;0.76808;76.65605;-47.54708;3.25126;4.41127;3.76814;2.05177
93.01396;99.58176;0.01075;0.01051;0.00347;1.00000;1.00000;87.74801;88.83350;89.87867;89.87296;100.97861;103.43053;103.43053;2.13369;-2.73251;4.97470;0.64640;-1.05866;-36.72779;-73.08198;1008.79913;1004.93616;0.00000;998.06659;-36.50000;-73.00000;2540.85645;225.36459;-58.51868;295.10986;-288.04984;34.91691;11.27443;0.46970;0.04166;8.65315;676.35590;601.58148;589.81390;595.17657;9.90707;32.31231;37.39541;31.25034;19.06207;19.21973;0.56430;0.80194;87.46621;-59.86672;6.47493;4.90252;4.20911;2.35721
92.98158;98.89240;0.01075;0.01036;0.00339;1.00000;1.00000;88.70457;89.95526;91.01587;91.01089;102.07940;104.73920;104.73920;1.92784;-2.93729;5.02861;0.59986;-1.29524;-36.72737;-73.08193;1010.48645;1006.66656;0.00000;999.68024;-36.50000;-73.00000;2522.19727;224.96161;-63.22209;291.02237;-272.50821;54.41852;11.21168;0.45469;0.04056;8.61177;680.73029;599.36975;581.73175;589.29645;6.94143;32.30825;36.95679;30.44004;18.37601;18.67117;0.57016;0.81223;88.93535;-64.50325;7.98856;5.01071;4.39822;2.47489
92.95342;95.52012;0.01076;0.01036;0.00348;1.00000;1.00000;89.79706;91.08702;92.16299;92.15951;103.33661;106.05929;106.05929;1.77036;-2.69411;5.17253;0.49863;-1.40324;-36.72694;-73.08188;1011.97870;1008.20148;0.00000;1001.31134;-36.50000;-73.00000;2519.89990;224.34268;-55.40900;290.58060;-269.62640;-8.09675;11.23237;0.44306;0.03944;8.63174;683.71405;602.09296;579.04388;588.75739;6.97202;29.98582;36.52107;30.13082;17.98513;18.38967;0.58445;0.79021;89.20860;-66.64799;3.31484;5.06276;4.50210;2.49595
