f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__lat,__deg;__lon,__deg;__alt,ftmsl;__alt,ftagl;___on,runwy;__alt,__ind;__lat,orign;__lon,orign;_lift,___lb;_drag,___lb;_side,___lb;____L,lb-ft;____M,lb-ft;____N,lb-ft;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
92.19060;87.34387;0.01085;0.01083;0.00349;1.00000;1.00000;90.10503;91.39893;92.47852;92.47536;103.69102;106.42239;106.42239;1.72354;-2.69519;5.38413;0.47390;-1.43587;-36.72630;-73.08181;1011.93384;1008.21967;0.00000;1001.31470;-36.50000;-73.00000;2516.70288;224.52544;-56.53340;293.56696;-260.08322;8.13971;11.20899;0.43948;0.03921;8.61377;684.70276;601.84540;577.83966;588.13617;6.59636;29.64683;36.43275;29.95697;17.86701;18.28896;0.58727;0.78855;89.07766;-67.70726;4.08037;5.07051;4.54130;2.51369
91.64578;90.71941;0.01091;0.01089;0.00347;1.00000;1.00000;91.24229;92.52932;93.62386;93.62191;104.99976;107.74042;107.74041;1.59407;-2.68448;5.55703;0.36889;-1.47940;-36.72587;-73.08176;1013.08472;1009.41058;0.00000;1002.71576;-36.50000;-73.00000;2519.37061;225.55359;-57.73254;290.93088;-254.86835;18.16847;11.16972;0.42926;0.03843;8.67466;688.89471;604.53284;577.49390;588.49445;5.36625;28.96467;36.21444;29.71759;17.62711;18.07569;0.59724;0.78897;88.32053;-68.75693;4.72821;5.07534;4.60806;2.54775
91.41160;90.21200;0.01094;0.01057;0.00350;1.00000;1.00000;92.37012;93.54848;94.65632;94.65532;106.29765;108.92855;108.92856;1.47881;-2.46143;5.71052;0.26481;-1.49778;-36.72543;-73.08170;1013.97137;1010.33661;0.00000;1003.87415;-36.50000;-73.00000;2518.05640;226.04103;-54.31581;259.85394;-236.09425;28.38724;11.13982;0.41974;0.03768;8.99133;687.63464;609.04437;577.55725;588.52032;5.11149;27.38103;35.61997;29.65035;17.42971;17.88706;0.60547;0.77324;79.92265;-62.74964;5.17910;4.79009;4.44283;2.46223
93.16125;93.49290;0.01073;0.01075;0.00346;1.00000;1.00000;93.37716;94.33448;95.45245;95.45210;107.45652;109.84471;109.84470;1.40835;-2.02417;5.87425;0.15140;-1.42074;-36.72499;-73.08165;1014.55475;1010.95856;0.00000;1004.75177;-36.50000;-73.00000;2520.78003;225.81485;-43.62942;240.69193;-224.65976;-14.40054;11.16304;0.41322;0.03702;9.17568;684.07703;614.71057;579.60687;589.81671;6.73638;24.60213;35.04705;29.82854;17.36949;17.80072;0.61368;0.74442;71.47009;-55.61319;1.73274;4.52038;4.24619;2.34035
89.91714;86.58759;0.01112;0.01047;0.00341;1.00000;1.00000;94.19382;94.97503;96.10099;96.10095;108.39631;110.59105;110.59106;1.36198;-1.81979;6.02028;0.05681;-1.29602;-36.72456;-73.08159;1014.84094;1011.28204;0.00000;1005.32642;-36.50000;-73.00000;2527.43140;226.48558;-40.62226;235.95839;-220.66362;-10.64027;11.15935;0.40874;0.03663;9.20095;683.13745;618.80835;582.82318;591.74536;7.37978;23.23864;34.78306;29.96108;17.40295;17.76629;0.61958;0.73300;66.79981;-51.68129;1.69282;4.38069;4.14821;2.28198
91.72945;96.15385;0.01090;0.01071;0.00351;1.00000;1.00000;94.87640;95.57317;96.70630;96.70628;109.18182;111.28763;111.28761;1.31980;-1.79184;6.09511;-0.00565;-1.21651;-36.72411;-73.08153;1014.90497;1011.38257;0.00000;1005.63184;-36.50000;-73.00000;2535.90283;227.57011;-41.66003;236.95827;-219.10739;2.96254;11.14339;0.40500;0.03634;9.17300;684.97339;621.86475;585.84003;593.78351;7.05691;22.92739;34.72575;30.01932;17.43772;17.74986;0.62373;0.73402;65.16033;-50.70092;2.72090;4.34433;4.13607;2.27363
91.90192;90.87605;0.01088;0.01063;0.00351;1.00000;1.00000;95.49107;96.16010;97.30009;97.30008;109.88916;111.97095;111.97095;1.27299;-1.76054;6.10294;-0.03206;-1.17084;-36.72366;-73.08147;1014.84369;1011.35663;0.00000;1005.71741;-36.50000;-73.00000;2543.08765;228.53717;-41.66124;235.92926;-218.82721;2.03928;11.12768;0.40120;0.03605;9.18523;687.24463;624.94971;587.80707;595.24896;6.72987;22.51728;34.66503;30.05795;17.42978;17.71391;0.62897;0.73573;64.43271;-50.63863;2.83064;4.34466;4.15589;2.28273
91.69762;91.00009;0.01091;0.01052;0.00333;1.00000;1.00000;96.07790;96.71639;97.86285;97.86283;110.56447;112.61855;112.61856;1.22133;-1.72840;6.06661;-0.03882;-1.14279;-36.72322;-73.08141;1014.74005;1011.28717;0.00000;1005.67859;-36.50000;-73.00000;2545.64648;229.25294;-41.75993;231.39412;-216.50047;5.65737;11.10410;0.39700;0.03575;9.22893;688.57275;627.47180;588.37140;595.31445;6.30488;22.06334;34.53115;30.05006;17.36860;17.62580;0.63390;0.73689;63.06514;-50.08815;3.22393;4.32771;4.16488;2.28843
91.25159;92.87638;0.01096;0.01053;0.00340;1.00000;1.00000;96.63577;97.22222;98.37450;98.37447;111.20646;113.20736;113.20736;1.17071;-1.66914;6.00753;-0.04375;-1.12169;-36.72276;-73.08135;1014.62128;1011.20154;0.00000;1005.58447;-36.50000;-73.00000;2545.24292;226.67772;-40.08146;224.56763;-211.89587;6.99779;11.22847;0.39282;0.03498;9.40082;688.78973;629.55219;588.40222;594.86066;6.02584;21.43050;34.33556;30.02752;17.29325;17.52789;0.63854;0.73523;60.95288;-48.89296;3.29656;4.28837;4.15476;2.28310
93.85957;97.64671;0.01065;0.01074;0.00348;1.00000;1.00000;97.15026;97.68741;98.84500;98.84496;111.79853;113.74879;113.74879;1.12555;-1.58967;5.94992;-0.05153;-1.08707;-36.72231;-73.08129;1014.48303;1011.09546;0.00000;1005.46985;-36.50000;-73.00000;2545.28857;227.00067;-38.57000;218.63684;-209.16971;3.22043;11.21269;0.38909;0.03470;9.44391;688.67102;631.58789;588.58679;594.60352;5.94194;20.68334;34.14066;30.02061;17.23197;17.44691;0.64294;0.73251;58.68155;-47.39944;3.04872;4.24461;4.13570;2.27192
