  _Vind,_kias ;   _Vind,_keas ;   Vtrue,_ktas ;   Vtrue,_ktgs ;   _Vind,__mph ;   Vtrue,mphas ;   Vtrue,mphgs ;   __lat,__deg ;   __lon,__deg ;   __alt,ftmsl ;   __alt,ftagl ;   ___on,runwy ;   __alt,__ind ;   __lat,orign ;   __lon,orign ;   __L/D,ratio ;   ___cl,total ;   ___cd,total ;   __L/D,*etaP ;   wing1,_lift ;   wing1,_lift ;   wing2,_lift ;   wing2,_lift ;   wing3,_lift ;   wing3,_lift ;   wing1,_drag ;   wing1,_drag ;   wing2,_drag ;   wing2,_drag ;   wing3,_drag ;   wing3,_drag ; 
78.6958;78.38068;79.29763;79.07015;90.56152;91.25409;91.25409;-36.82127;-73.09175;787.84436;761.01691;0;789.11487;-36.5;-73;11.83449;0.49292;0.04165;13.6277;494.36374;495.36417;510.67438;512.86121;20.33913;19.28543;28.49954;28.59592;17.56541;17.68651;0.506;0.49315; 
78.24525;77.7521;78.65099;78.5053;90.04304;90.50994;90.50995;-36.82093;-73.09158;778.58575;751.76117;0;778.86365;-36.5;-73;11.78494;0.52509;0.04456;13.46875;511.931;512.68323;537.80548;539.84534;22.96051;22.17796;30.81783;30.89444;19.40654;19.52972;0.53705;0.52608; 
77.5402;76.6787;77.55774;77.50681;89.23167;89.25186;89.25186;-36.82059;-73.09141;772.07056;745.24799;0;769.96045;-36.5;-73;11.69596;0.55504;0.04746;13.14005;520.80145;521.72699;555.04907;556.97931;25.20774;24.28763;32.59948;32.70105;20.94361;21.07056;0.56631;0.55163; 
76.41455;75.07494;75.93245;75.93031;87.93629;87.3815;87.3815;-36.82027;-73.09125;769.25378;742.43243;0;763.76483;-36.5;-73;11.64203;0.57293;0.04921;12.78155;511.78036;512.76453;549.66016;551.39655;25.76371;24.83447;32.73494;32.84291;21.27122;21.38547;0.56971;0.5536; 
74.82494;73.08186;73.91703;73.91111;86.10701;85.0622;85.0622;-36.81995;-73.09109;769.63684;742.81598;0;760.94653;-36.5;-73;11.55621;0.58923;0.05099;12.40264;497.02759;497.82416;537.57922;539.04901;25.79419;25.07092;32.49583;32.58303;21.34214;21.43999;0.56423;0.55115; 
72.82072;70.76448;71.57596;71.5458;83.8006;82.36814;82.36814;-36.81963;-73.09093;772.29431;745.47327;0;761.12445;-36.5;-73;11.46327;0.60945;0.05317;12.01176;479.10263;479.84119;522.32068;523.53723;25.81043;25.15589;32.10438;32.18769;21.34923;21.43386;0.55993;0.54726; 
70.53313;68.33331;69.12087;69.0782;81.16808;79.54288;79.54288;-36.81933;-73.09078;776.20251;749.38055;0;763.55414;-36.5;-73;11.34024;0.63146;0.05568;-22.26301;460.42163;461.05304;506.6915;506.4967;25.76752;25.12405;31.7059;31.77637;21.41267;21.39371;0.55622;0.54306; 
67.57203;66.02815;66.79313;66.75301;77.76051;76.86417;76.86417;-36.81903;-73.09064;780.25684;753.43341;0;767.18744;-36.5;-73;11.12895;0.66636;0.05988;5.5754;450.06213;450.63379;501.88138;499.65158;26.52825;25.91324;32.32536;32.38845;22.33565;22.15017;0.57361;0.55972; 
64.55922;63.93339;64.67771;64.6404;74.29343;74.42979;74.42979;-36.81875;-73.0905;784.0672;757.24176;0;771.09637;-36.5;-73;10.72843;0.71196;0.06636;7.36083;450.52786;448.73343;502.54764;500.11328;28.04541;26.99372;33.94978;33.6794;23.76228;23.51446;0.61346;0.58894; 
61.7973;62.10396;62.83032;62.79491;71.11507;72.30385;72.30385;-36.81848;-73.09036;787.68671;760.85876;0;774.88135;-36.5;-73;10.395;0.75672;0.0728;7.53804;452.90268;446.37537;502.98468;500.43118;28.36215;29.10992;35.75155;34.7854;25.20946;24.80645;0.62591;0.6509; 
59.35537;60.57921;61.29098;61.25288;68.30495;70.5324;70.5324;-36.81821;-73.09023;791.27655;764.44556;0;778.53174;-36.5;-73;10.05939;0.79968;0.0795;7.27566;459.69916;445.25546;503.48285;500.77567;27.79913;32.06294;37.8524;35.72036;26.59052;26.01946;0.6133;0.74655; 
57.31106;59.45033;60.15223;60.10419;65.95239;69.22195;69.22196;-36.81795;-73.09011;795.11407;768.27966;0;782.17749;-36.5;-73;9.76988;0.83343;0.08531;7.04898;468.52972;444.99231;500.94321;498.24368;26.58566;35.1687;39.65575;36.19628;27.43201;26.72494;0.58017;0.8552; 
55.77059;58.75094;59.44838;59.38217;64.17965;68.41198;68.41199;-36.81769;-73.08999;799.46423;772.62604;0;786.06;-36.5;-73;9.47179;0.85676;0.09045;6.73635;478.5849;446.25641;496.88867;493.95761;25.28647;37.81953;40.94289;36.28365;27.72705;26.94384;0.544;0.9501; 
54.78059;58.49953;59.19849;59.10414;63.04037;68.12441;68.12441;-36.81743;-73.08987;804.64557;777.80316;0;790.50549;-36.5;-73;9.37367;0.86184;0.09194;6.52833;487.56839;446.63757;489.28659;486.49454;23.9352;39.37244;41.30277;35.62504;27.1847;26.40883;0.50854;1.00198; 
54.41113;58.72902;59.43607;59.30579;62.61521;68.39781;68.39782;-36.81717;-73.08977;810.76495;783.91797;0;795.71558;-36.5;-73;9.37824;0.85212;0.09086;6.3896;496.77151;447.14023;480.45877;478.31369;22.39067;40.25416;41.03573;34.47744;26.06976;25.3687;0.4744;1.02381; 
54.69537;59.45928;60.18151;60.00785;62.94231;69.25565;69.25564;-36.81691;-73.08965;817.97205;791.11993;0;801.90961;-36.5;-73;9.47253;0.82866;0.08748;6.29145;507.55838;447.71207;471.36743;470.73074;20.60571;40.66957;40.45181;33.00778;24.56156;24.01557;0.44399;1.02649; 
55.61058;60.56529;61.30836;61.08726;63.99551;70.5524;70.5524;-36.81665;-73.08955;826.18774;799.32996;0;809.06012;-36.5;-73;9.60882;0.79263;0.08249;6.4176;515.64343;445.44733;460.39185;462.29962;17.78604;41.21215;39.4341;31.19913;22.7192;22.40526;0.40821;1.03192; 
56.99157;61.62432;62.38903;62.15001;65.58473;71.79602;71.79602;-36.81636;-73.08945;835.60187;808.73755;0;817.6051;-36.5;-73;9.88963;0.74613;0.07545;7.04136;507.99496;438.55228;446.79285;449.83844;14.98961;40.2223;37.01966;29.27166;20.67163;20.66548;0.37922;0.97966; 
58.27164;62.24072;63.02145;62.8047;67.05781;72.5238;72.5238;-36.81609;-73.08936;844.62708;817.75598;0;826.48077;-36.5;-73;10.17092;0.72235;0.07102;7.63094;496.3403;436.97809;443.66306;447.37393;16.32011;36.72236;35.23959;28.77326;19.8588;20.07969;0.39513;0.86293; 
59.18219;62.44051;63.23157;63.05301;68.10565;72.76559;72.76558;-36.8158;-73.08926;853.03711;826.15875;0;835.34943;-36.5;-73;10.32809;0.71638;0.06936;8.10052;485.88174;437.14993;446.97275;451.4509;18.71888;33.83837;34.44646;29.07702;19.97362;20.23045;0.42391;0.77799; 
59.52788;62.22085;63.01617;62.87684;68.50346;72.51772;72.51772;-36.81552;-73.08916;860.61749;833.7312;0;843.73083;-36.5;-73;10.31191;0.72321;0.07013;8.48958;477.92114;436.40073;453.94641;457.63174;19.83822;33.45145;34.51278;29.75023;20.70183;20.8545;0.43651;0.7652; 
59.26803;61.61491;62.40857;62.30325;68.20443;71.8185;71.8185;-36.81524;-73.08907;867.22986;840.33508;0;851.2724;-36.5;-73;10.245;0.74172;0.0724;7.97927;471.95483;435.57483;462.89502;464.96097;21.13773;33.62156;35.1651;30.79294;21.85477;21.89474;0.45468;0.77334; 
58.57857;61.11091;61.90337;61.81551;67.41102;71.23714;71.23714;-36.81496;-73.08899;873.04535;846.1416;0;857.90735;-36.5;-73;10.14037;0.76793;0.07573;7.35087;477.20209;440.40396;473.79092;474.57925;23.01245;34.02974;36.6819;32.11829;23.24149;23.09823;0.48933;0.79344; 
58.02037;61.08478;61.88203;61.78785;66.76865;71.21258;71.21258;-36.81468;-73.08891;878.66998;851.7569;0;863.83069;-36.5;-73;10.01183;0.78153;0.07806;7.07864;489.42361;446.80444;479.27676;479.24182;22.70244;35.96729;38.01677;32.67082;23.90751;23.51621;0.48325;0.85431; 
57.9567;61.54668;62.35557;62.23541;66.69538;71.75751;71.75751;-36.8144;-73.08882;884.76862;857.84583;0;869.59015;-36.5;-73;9.94589;0.77595;0.07802;6.89903;502.91541;450.87555;478.26535;477.18765;20.64247;38.25933;38.58866;32.22132;23.55927;23.02981;0.44816;0.92205; 
58.49162;62.33492;63.16069;63.0056;67.31095;72.68403;72.68404;-36.81412;-73.08875;891.77087;864.83765;0;875.81287;-36.5;-73;10.00637;0.75163;0.07512;7.43656;508.37393;451.20544;469.3252;470.24731;18.26778;38.94505;37.70309;31.03792;22.17502;21.93035;0.41716;0.93232; 
59.32145;62.72882;63.56704;63.39957;68.26591;73.15165;73.15164;-36.81384;-73.08867;899.4939;871.87659;0;882.84991;-36.5;-73;10.18026;0.7275;0.07146;7.91352;497.65948;445.26431;459.99457;462.23734;17.72071;37.00191;35.93996;30.00972;20.98225;21.0188;0.41043;0.8663; 
59.82638;62.62159;63.46552;63.31496;68.84697;73.03481;73.03481;-36.81355;-73.0886;907.11603;878.04401;0;890.383;-36.5;-73;10.32497;0.72056;0.06979;8.39699;484.16888;440.41702;457.2717;460.70746;19.32353;34.28566;34.8346;29.88335;20.73005;20.92326;0.43049;0.7873; 
59.76525;62.12327;62.96697;62.84505;68.77662;72.4611;72.46111;-36.81326;-73.08853;914.10785;883.59241;0;897.84589;-36.5;-73;10.32919;0.73087;0.07076;7.89571;475.33051;437.79678;461.87341;464.02475;21.1057;33.07214;34.87699;30.48602;21.42634;21.4823;0.45591;0.75602; 
59.27623;61.78526;62.63016;62.5256;68.21387;72.0735;72.0735;-36.81298;-73.08846;920.37665;888.43646;0;904.75183;-36.5;-73;10.23303;0.7501;0.0733;7.37796;480.81253;441.3942;470.5549;471.30054;22.15938;33.8409;36.15625;31.39818;22.49957;22.30759;0.47396;0.78363; 
58.92842;61.94699;62.79978;62.68971;67.81361;72.2687;72.2687;-36.81269;-73.0884;926.5036;893.34833;0;911.14307;-36.5;-73;10.12216;0.758;0.07488;7.13497;493.92252;447.26688;475.19873;475.12735;21.25595;36.04238;37.34322;31.69905;22.91539;22.53987;0.45886;0.84982; 
59.09956;62.51242;63.37918;63.24557;68.01057;72.93546;72.93546;-36.81241;-73.08834;933.112;899.45789;0;917.44214;-36.5;-73;10.08556;0.74697;0.07406;7.54143;503.40503;450.54056;472.1601;472.77814;19.13637;37.80292;37.3772;31.1495;22.29404;22.00154;0.42839;0.89632; 
59.63175;62.80527;63.68286;63.53629;68.62299;73.28493;73.28494;-36.81212;-73.08829;940.31158;906.16089;0;924.13788;-36.5;-73;10.1817;0.72902;0.0716;8.01942;496.37479;446.17099;464.57236;466.40359;18.08993;37.05039;36.1072;30.33458;21.34225;21.31678;0.41404;0.86703; 
59.94385;62.60638;63.48797;63.35267;68.98215;73.06065;73.06066;-36.81182;-73.08823;947.53796;912.85956;1;931.25134;-36.5;-73;10.3151;0.72444;0.07023;8.17916;483.9014;441.34222;461.74893;464.47092;19.64625;34.51534;35.1212;30.24258;21.1208;21.2652;0.43437;0.7938; 
