f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__lat,__deg;__lon,__deg;__alt,ftmsl;__alt,ftagl;___on,runwy;__alt,__ind;__lat,orign;__lon,orign;_lift,___lb;_drag,___lb;_side,___lb;____L,lb-ft;____M,lb-ft;____N,lb-ft;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
89.90610;91.16602;0.01112;0.00567;0.00299;1.00000;1.00000;100.05603;99.95665;116.00665;116.00665;115.14243;133.49808;133.49808;-0.63233;-1.05856;140.77588;-0.00403;-1.04623;-36.86805;-72.74098;10008.58105;9248.44531;0.00000;9999.45996;-36.50000;-73.00000;1732.31372;183.76451;-26.58941;176.43161;-35.47169;-8.86614;9.42681;0.25293;0.02683;7.40997;525.95172;483.19586;384.52399;387.80414;-12.43301;-2.76469;21.70696;19.39935;10.50461;10.58148;0.68266;0.65668;21.99896;-50.22790;1.85743;3.56916;4.07491;2.23452
88.64896;86.98678;0.01128;0.01252;0.00370;1.00000;1.00000;100.05384;99.95560;116.00540;116.00539;115.13991;133.49664;133.49663;-0.63209;-1.06035;140.77516;-0.00339;-1.04662;-36.86847;-72.74055;10008.56543;9281.73340;0.00000;9999.49316;-36.50000;-73.00000;1732.40784;183.77052;-26.64745;176.28603;-35.56073;-8.50152;9.42702;0.25295;0.02683;7.40472;525.98071;483.20135;384.54050;387.83026;-12.44216;-2.74950;21.70892;19.39983;10.50502;10.58205;0.68270;0.65667;22.02470;-50.24361;1.88462;3.56950;4.07537;2.23475
91.77036;95.02994;0.01090;0.01079;0.00303;1.00000;1.00000;100.05212;99.95348;116.00291;116.00291;115.13792;133.49377;133.49377;-0.63194;-1.05979;140.77393;-0.00304;-1.04677;-36.86888;-72.74013;10008.55273;9319.38770;0.00000;9999.43945;-36.50000;-73.00000;1732.40503;183.76375;-26.62628;176.25948;-35.48886;-8.64949;9.42735;0.25296;0.02683;7.41047;525.96820;483.20032;384.54346;387.83255;-12.43614;-2.75138;21.70860;19.40015;10.50504;10.58205;0.68265;0.65664;22.01886;-50.23817;1.87426;3.56927;4.07507;2.23461
89.71546;86.56509;0.01115;0.01067;0.00349;1.00000;1.00000;100.04925;99.94582;115.99400;115.99400;115.13462;133.48352;133.48352;-0.63162;-1.05990;140.77237;-0.00213;-1.04693;-36.86929;-72.73971;10008.54199;9326.43262;0.00000;9999.41992;-36.50000;-73.00000;1732.29321;183.73526;-26.68528;169.01797;-35.15966;-7.69618;9.42820;0.25298;0.02683;7.64425;525.86206;483.18225;384.30603;388.07724;-12.43850;-2.73691;21.70400;19.40078;10.49923;10.58777;0.68251;0.65647;21.91246;-50.14362;1.92997;3.56691;4.07202;2.23342
92.23083;91.97940;0.01084;0.01078;0.00358;1.00000;1.00000;100.01901;99.80341;115.82868;115.82868;115.09983;133.29327;133.29327;-0.62810;-1.01868;140.77530;-0.01187;-1.04718;-36.86971;-72.73928;10008.52246;9333.51660;0.00000;9999.38281;-36.50000;-73.00000;1727.54065;182.95145;-26.16550;139.19986;-30.20162;1.58796;9.44262;0.25300;0.02679;8.13669;522.88361;482.34531;383.17038;388.18127;-12.21561;-2.83220;21.56987;19.38226;10.46806;10.58745;0.67808;0.65300;19.22299;-47.57813;2.41948;3.50649;3.99436;2.19712
91.32452;90.13068;0.01095;0.01065;0.00373;1.00000;1.00000;99.85159;99.42319;115.38721;115.38714;114.90716;132.78525;132.78523;-0.60725;-0.84777;140.79863;-0.06108;-1.00701;-36.87012;-72.73886;10008.40430;9340.43555;0.00000;9999.38672;-36.50000;-73.00000;1721.74011;181.17865;-21.95666;108.85426;-24.92949;-4.88286;9.50300;0.25409;0.02674;8.75447;516.81128;481.62878;382.75381;388.23779;-10.93810;-3.50793;21.31726;19.41793;10.44618;10.58249;0.66479;0.64532;13.70359;-41.58118;1.64284;3.44977;3.76961;2.12033
90.10437;91.39098;0.01110;0.01067;0.00378;1.00000;1.00000;99.47554;98.83372;114.70257;114.70236;114.47441;131.99738;131.99738;-0.55644;-0.64739;140.84781;-0.10896;-0.90608;-36.87053;-72.73844;10008.11328;9348.56836;0.00000;9999.23242;-36.50000;-73.00000;1723.21375;176.41533;-16.95397;97.10901;-21.69296;-7.54753;9.76794;0.25735;0.02635;8.59605;511.05292;481.77765;385.13693;389.66843;-9.08850;-3.98753;21.13935;19.55131;10.48903;10.60977;0.64638;0.63457;8.57644;-35.19760;1.00239;3.32611;3.59442;2.03377
89.51242;91.94557;0.01117;0.01111;0.00397;1.00000;1.00000;98.93150;98.26118;114.03734;114.03705;113.84834;131.23184;131.23186;-0.50045;-0.51582;140.90408;-0.13437;-0.76998;-36.87094;-72.73802;10007.69043;9362.35254;0.00000;9998.92383;-36.50000;-73.00000;1730.15735;175.25829;-13.57771;116.40223;-26.26183;-21.91072;9.87204;0.26140;0.02648;8.20112;508.59943;482.28839;388.86255;391.42603;-7.49229;-4.12759;21.13324;19.69947;10.57174;10.64768;0.63372;0.62631;7.42816;-32.46063;-0.15511;3.26628;3.50948;1.98915
91.27586;92.29350;0.01096;0.01083;0.00380;1.00000;1.00000;98.39050;97.76643;113.46236;113.46210;113.22576;130.57016;130.57016;-0.45941;-0.57886;140.92618;-0.12309;-0.68665;-36.87135;-72.73761;10007.25098;9376.10352;0.00000;9998.47559;-36.50000;-73.00000;1733.20874;174.54414;-16.26015;104.62277;-25.71536;1.87458;9.92992;0.26452;0.02664;8.85631;507.74927;481.20007;390.07202;393.04034;-7.35925;-3.19066;21.19002;19.73003;10.59831;10.68220;0.62729;0.61952;7.97870;-32.14045;1.50490;3.23790;3.47848;1.97107
89.40998;96.84292;0.01118;0.01089;0.00372;1.00000;1.00000;97.86641;97.23617;112.84627;112.84607;112.62266;129.86118;129.86118;-0.41969;-0.54050;140.91402;-0.10808;-0.64879;-36.87176;-72.73720;10006.86133;9389.81152;0.00000;9998.11621;-36.50000;-73.00000;1733.64294;173.37553;-14.53554;112.04905;-26.26527;-12.88566;9.99935;0.26748;0.02675;8.57808;505.54834;479.93890;391.29718;393.49539;-6.60042;-2.92623;21.17299;19.76328;10.62658;10.68836;0.61888;0.61234;8.06492;-31.28249;0.53664;3.20251;3.43261;1.94561
89.64857;91.61704;0.01115;0.01070;0.00370;1.00000;1.00000;97.35717;96.76958;112.30421;112.30408;112.03664;129.23738;129.23738;-0.38519;-0.56839;140.89014;-0.08463;-0.60790;-36.87216;-72.73679;10006.53711;9403.48438;0.00000;9997.74609;-36.50000;-73.00000;1734.51514;172.61574;-15.47648;106.73916;-27.70551;-7.06804;10.04842;0.27020;0.02689;9.07821;504.45917;478.72052;391.81281;394.26474;-6.29050;-2.36143;21.20305;19.77695;10.63879;10.70468;0.61283;0.60689;9.14564;-31.52003;0.98210;3.18608;3.41532;1.93454
86.39128;90.86778;0.01158;0.01112;0.00375;1.00000;1.00000;96.86934;96.26571;111.71902;111.71894;111.47525;128.56395;128.56396;-0.35116;-0.59714;140.84599;-0.06843;-0.61030;-36.87256;-72.73638;10006.28613;9380.06250;0.00000;9997.44727;-36.50000;-73.00000;1732.17810;171.49144;-16.10926;109.34702;-26.33219;-1.99385;10.10067;0.27267;0.02700;8.77892;502.27243;476.62564;392.18365;394.06891;-6.06038;-1.72997;21.18544;19.75488;10.64830;10.69635;0.60585;0.60001;9.17950;-30.85820;1.39297;3.15181;3.37423;1.91274
90.09283;92.10648;0.01110;0.01064;0.00356;1.00000;1.00000;96.36647;95.73770;111.10587;111.10580;110.89656;127.85836;127.85835;-0.31331;-0.57060;140.80815;-0.05991;-0.59871;-36.87296;-72.73597;10006.07617;9346.73926;0.00000;9997.16406;-36.50000;-73.00000;1730.28003;170.28079;-15.30398;99.47284;-25.29331;-5.43003;10.16133;0.27539;0.02710;9.00859;499.50430;474.92471;392.30933;394.58014;-5.43922;-1.41893;21.14276;19.76437;10.65129;10.70911;0.59737;0.59293;8.97110;-29.87605;1.12106;3.11216;3.32549;1.88645
