f-act,_/sec;f-sim,_/sec;frame,_time;__cpu,_time;_gpu_,time_;_grnd,ratio;_flit,ratio;_Vind,_kias;_Vind,_keas;Vtrue,_ktas;Vtrue,_ktgs;_Vind,__mph;Vtrue,mphas;Vtrue,mphgs;alpha,__deg;_beta,__deg;hpath,__deg;vpath,__deg;_slip,__deg;__L/D,ratio;___cl,total;___cd,total;__L/D,*etaP;wing1,_lift;wing1,_lift;wing2,_lift;wing2,_lift;wing3,_lift;wing3,_lift;wing1,_drag;wing1,_drag;wing2,_drag;wing2,_drag;wing3,_drag;wing3,_drag;hstab,_lift;hstab,_lift;vstb1,_lift;hstab,_drag;hstab,_drag;vstb1,_drag
86.72274;71.80297;0.01153;0.01098;0.00371;1.00000;1.00000;87.17374;88.44503;102.75225;102.60123;100.31775;118.24518;118.24518;2.74497;-2.03416;141.04245;-3.10677;-1.04635;11.47359;0.51148;0.04458;8.86134;698.16272;639.15259;651.58575;659.50555;18.46924;34.45581;41.01004;35.70680;22.48911;22.87882;0.59276;0.80890;68.79180;-38.54160;2.62644;4.08867;3.52899;1.90533
87.82016;91.54156;0.01139;0.01137;0.00384;1.00000;1.00000;88.29538;89.28970;103.72005;103.63238;101.60851;119.35891;119.35891;2.49630;-1.97418;141.19350;-2.35602;-1.03200;11.47736;0.49261;0.04292;8.85602;690.14459;631.51514;637.97388;645.79468;16.69807;32.38565;39.58042;34.45253;21.44161;21.80716;0.58731;0.78210;66.97446;-39.38786;2.89125;4.04639;3.56677;1.92613
90.06365;92.37875;0.01110;0.01125;0.00394;1.00000;1.00000;89.18021;89.96950;104.49921;104.44565;102.62676;120.25555;120.25555;2.27957;-1.93514;141.30702;-1.83450;-1.03230;11.46560;0.47610;0.04152;8.83775;681.83893;623.58887;624.53961;632.18011;14.98027;30.55992;38.28286;33.31722;20.51046;20.85640;0.58321;0.76062;65.21584;-40.28580;3.08572;4.00873;3.59893;1.94392
87.96358;87.61938;0.01137;0.01116;0.00387;1.00000;1.00000;89.89565;90.54350;105.15738;105.12109;103.45007;121.01295;121.01295;2.11071;-1.87307;141.38391;-1.50537;-1.03201;11.44969;0.46323;0.04046;8.81402;675.41010;617.96912;614.26807;621.70276;13.79030;28.94229;37.28290;32.48895;19.81832;20.14543;0.58200;0.74294;63.75942;-40.97017;2.76417;3.98390;3.62583;1.95675
90.51224;92.00478;0.01105;0.01112;0.00384;1.00000;1.00000;90.49377;91.04764;105.73565;105.70793;104.13837;121.67842;121.67842;1.98703;-1.83829;141.42680;-1.31192;-1.03068;11.42818;0.45375;0.03970;8.78251;671.58362;614.78259;607.64008;614.72540;12.83785;27.85448;36.60884;31.94334;19.35686;19.65782;0.58180;0.73334;62.57481;-41.39787;2.90652;3.96734;3.64945;1.96908
87.66101;85.63844;0.01141;0.01089;0.00380;1.00000;1.00000;91.01865;91.51078;106.26694;106.24380;104.74240;122.28982;122.28982;1.89960;-1.81586;141.43982;-1.19572;-1.03354;11.40943;0.44701;0.03918;8.75285;670.13037;613.84888;604.24023;610.97424;12.14156;27.16081;36.20066;31.63498;19.07843;19.35725;0.58330;0.72820;61.65218;-41.60419;3.11692;3.95797;3.66968;1.98014
89.10648;89.27775;0.01122;0.01083;0.00373;1.00000;1.00000;91.49171;91.93909;106.75819;106.73803;105.28679;122.85514;122.85514;1.83771;-1.78632;141.43321;-1.11345;-1.03530;11.39612;0.44221;0.03880;8.72854;670.24365;614.54236;603.09222;609.53864;11.73035;26.64454;35.97163;31.49312;18.92482;19.18617;0.58612;0.72563;60.92574;-41.65038;3.11456;3.95467;3.68702;1.98903
89.68084;87.36677;0.01115;0.01109;0.00388;1.00000;1.00000;91.92820;92.33733;107.21489;107.19731;105.78909;123.38069;123.38071;1.79019;-1.76239;141.41585;-1.03759;-1.03411;11.38300;0.43851;0.03852;8.70474;671.15924;615.95471;603.07837;609.26068;11.42460;26.27685;35.84037;31.43071;18.83614;19.08185;0.58911;0.72466;60.33026;-41.59901;3.04582;3.95443;3.70240;2.03608
89.09576;82.87750;0.01122;0.01090;0.00392;1.00000;1.00000;92.32954;92.70269;107.63374;107.61867;106.25094;123.86270;123.86269;1.74931;-1.75415;141.39314;-0.95872;-1.03440;11.37083;0.43532;0.03828;8.68174;672.27856;617.33862;603.30865;609.24054;11.08302;26.04429;35.74855;31.38316;18.76740;18.99965;0.59163;0.72501;59.79482;-41.54593;3.35501;3.95445;3.71670;2.04488
86.94277;85.88114;0.01150;0.01189;0.00404;1.00000;1.00000;92.69847;93.03578;108.01553;108.00294;106.67550;124.30206;124.30206;1.71295;-1.73075;141.36987;-0.87491;-1.03457;11.36244;0.43250;0.03806;8.66230;673.29419;618.72235;603.56885;609.37250;10.87571;25.73543;35.66445;31.35083;18.70757;18.93346;0.59437;0.72433;59.31439;-41.48483;3.26732;3.95510;3.72966;2.05140
87.86955;88.00493;0.01138;0.01117;0.00393;1.00000;1.00000;93.03516;93.33656;108.36021;108.34996;107.06295;124.69872;124.69869;1.67828;-1.70848;141.35132;-0.78761;-1.03104;11.35328;0.42982;0.03786;8.64469;674.02802;619.78540;603.55908;609.25555;10.67801;25.42038;35.57277;31.30535;18.64375;18.86295;0.59676;0.72340;58.86206;-41.45010;3.21872;3.95540;3.74177;2.05742
85.80768;84.65250;0.01165;0.01103;0.00383;1.00000;1.00000;93.34026;93.60632;108.66932;108.66116;107.41405;125.05442;125.05442;1.64453;-1.69491;141.33699;-0.70173;-1.02804;11.34274;0.42721;0.03766;8.62549;674.47632;620.43036;603.19989;608.80334;10.43046;25.14451;35.47173;31.23853;18.57157;18.78549;0.59864;0.72269;58.43282;-41.44152;3.28470;3.95537;3.75295;2.06341
88.78683;89.02341;0.01126;0.01118;0.00381;1.00000;1.00000;93.61629;93.84920;108.94759;108.94118;107.73171;125.37466;125.37465;1.61261;-1.67874;141.32666;-0.62106;-1.02545;11.33298;0.42475;0.03748;8.60917;674.71667;620.87225;602.66290;608.21130;10.21420;24.84998;35.36639;31.16676;18.49745;18.70814;0.60040;0.72163;58.02032;-41.46058;3.24529;3.95518;3.76337;2.06854
90.49191;92.59259;0.01105;0.01107;0.00395;1.00000;1.00000;93.86163;94.06426;109.19402;109.18902;108.01403;125.65823;125.65823;1.58341;-1.66352;141.32034;-0.54833;-1.02203;11.32352;0.42250;0.03731;8.59318;674.82562;621.16882;602.05426;607.55371;10.01771;24.56878;35.26503;31.09544;18.42674;18.63461;0.60196;0.72053;57.65193;-41.48133;3.21022;3.95497;3.77269;2.07317
86.16122;79.61783;0.01161;0.01118;0.00395;1.00000;1.00000;94.07950;94.25536;109.41299;109.40907;108.26476;125.91022;125.91022;1.55723;-1.65142;141.31619;-0.48399;-1.01916;11.31452;0.42049;0.03716;8.57880;674.89478;621.38727;601.46210;606.91650;9.82967;24.32285;35.17366;31.02882;18.36235;18.56756;0.60331;0.71964;57.32024;-41.50485;3.20110;3.95470;3.78106;2.07743
