tiempo_s,angulo_deg,pulsos_raw
0.00,0.00,0
0.02,0.00,0
0.04,0.00,0
0.06,0.00,0
0.08,0.00,0
0.10,0.00,0
0.12,0.00,0
0.14,0.00,0
0.16,0.00,0
0.18,0.00,0
0.20,0.00,0
0.22,0.00,0
0.24,0.00,0
0.26,0.00,0
0.28,0.00,0
0.30,0.00,0
0.32,0.00,0
0.34,0.00,0
0.36,0.00,0
0.38,0.00,0
0.40,0.00,0
0.42,0.00,0
0.44,0.00,0
0.46,0.00,0
0.48,0.00,0
0.50,0.00,0
0.52,0.00,0
0.54,0.00,0
0.56,0.00,0
0.58,0.00,0
0.60,0.00,0
0.62,0.00,0
0.64,0.00,0
0.66,0.00,0
0.68,0.00,0
0.70,0.00,0
0.72,0.00,0
0.74,0.00,0
0.76,0.00,0
0.78,0.00,0
0.80,0.00,0
0.82,0.00,0
0.84,0.00,0
0.86,0.00,0
0.88,0.00,0
0.90,0.00,0
0.92,0.00,0
0.94,0.00,0
0.96,0.00,0
0.98,0.00,0
1.00,0.00,0
1.02,0.00,0
1.04,0.00,0
1.06,0.00,0
1.08,0.00,0
1.10,0.00,0
1.12,0.00,0
1.14,0.00,0
1.16,0.00,0
1.18,0.00,0
1.20,0.00,0
1.22,0.00,0
1.24,0.00,0
1.26,0.00,0
1.28,0.00,0
1.30,0.00,0
1.32,0.00,0
1.34,0.00,0
1.36,0.00,0
1.38,0.00,0
1.40,0.00,0
1.42,0.00,0
1.44,0.00,0
1.46,0.00,0
1.48,0.00,0
1.50,0.00,0
1.52,0.00,0
1.54,0.00,0
1.56,0.00,0
1.58,0.00,0
1.60,0.00,0
1.62,0.00,0
1.64,0.00,0
1.66,0.00,0
1.68,0.00,0
1.70,0.00,0
1.72,0.00,0
1.74,0.00,0
1.76,0.00,0
1.78,0.00,0
1.80,0.00,0
1.82,0.00,0
1.84,0.00,0
1.86,0.00,0
1.88,0.00,0
1.90,0.00,0
1.92,0.00,0
1.94,0.00,0
1.96,0.00,0
1.98,0.00,0
2.00,0.00,0
2.02,0.00,0
2.04,0.00,0
2.06,0.00,0
2.08,0.00,0
2.10,0.00,0
2.12,0.00,0
2.14,0.00,0
2.16,0.00,0
2.18,0.00,0
2.20,0.00,0
2.22,0.00,0
2.24,0.00,0
2.26,0.00,0
2.28,0.00,0
2.30,0.00,0
2.32,0.00,0
2.34,0.00,0
2.36,0.00,0
2.38,0.00,0
2.40,0.00,0
2.42,-0.36,-1
2.44,-0.36,-1
2.46,-0.72,-2
2.48,-0.72,-2
2.50,-1.44,-4
2.52,-2.16,-6
2.54,-2.88,-8
2.56,-3.96,-11
2.58,-5.04,-14
2.60,-6.12,-17
2.62,-7.56,-21
2.64,-9.00,-25
2.66,-10.44,-29
2.68,-11.88,-33
2.70,-13.32,-37
2.72,-14.76,-41
2.74,-16.20,-45
2.76,-17.64,-49
2.78,-19.08,-53
2.80,-20.52,-57
2.82,-21.60,-60
2.84,-23.04,-64
2.86,-24.48,-68
2.88,-25.92,-72
2.90,-27.00,-75
2.92,-28.44,-79
2.94,-29.52,-82
2.96,-30.96,-86
2.98,-32.04,-89
3.00,-33.12,-92
3.02,-34.20,-95
3.04,-35.28,-98
3.06,-36.36,-101
3.08,-37.44,-104
3.10,-38.16,-106
3.12,-38.88,-108
3.14,-39.96,-111
3.16,-40.68,-113
3.18,-41.40,-115
3.20,-42.12,-117
3.22,-43.20,-120
3.24,-44.28,-123
3.26,-45.00,-125
3.28,-46.08,-128
3.30,-46.80,-130
3.32,-47.52,-132
3.34,-48.60,-135
3.36,-49.32,-137
3.38,-50.04,-139
3.40,-51.12,-142
3.42,-52.20,-145
3.44,-52.92,-147
3.46,-54.00,-150
3.48,-54.72,-152
3.50,-55.80,-155
3.52,-56.52,-157
3.54,-57.24,-159
3.56,-58.32,-162
3.58,-59.04,-164
3.60,-59.76,-166
3.62,-60.48,-168
3.64,-61.20,-170
3.66,-62.28,-173
3.68,-63.00,-175
3.70,-63.72,-177
3.72,-64.08,-178
3.74,-64.80,-180
3.76,-65.88,-183
3.78,-66.60,-185
