8.58,-85.68,-238
8.60,-85.68,-238
8.62,-85.68,-238
8.64,-85.68,-238
8.66,-85.68,-238
8.68,-85.68,-238
8.70,-85.68,-238
8.72,-85.68,-238
8.74,-85.68,-238
8.76,-85.68,-238
8.78,-85.68,-238
8.80,-85.68,-238
8.82,-85.68,-238
8.84,-86.04,-239
8.86,-86.04,-239
8.88,-86.04,-239
8.90,-86.04,-239
8.92,-86.04,-239
8.94,-86.04,-239
8.96,-86.04,-239
8.98,-86.04,-239
9.00,-86.04,-239
9.02,-86.04,-239
9.04,-86.40,-240
9.06,-86.40,-240
9.08,-86.40,-240
9.10,-86.40,-240
9.12,-86.40,-240
9.14,-86.40,-240
9.16,-86.40,-240
9.18,-86.40,-240
9.20,-86.40,-240
9.22,-86.40,-240
9.24,-86.40,-240
9.26,-86.76,-241
9.28,-86.76,-241
9.30,-86.76,-241
9.32,-86.76,-241
9.34,-86.76,-241
9.36,-86.76,-241
9.38,-86.76,-241
9.40,-86.76,-241
9.42,-87.12,-242
9.44,-87.12,-242
9.46,-87.12,-242
9.48,-87.12,-242
9.50,-87.12,-242
9.52,-87.12,-242
9.54,-87.48,-243
9.56,-87.48,-243
9.58,-87.48,-243
9.60,-87.48,-243
9.62,-87.48,-243
9.64,-87.48,-243
9.66,-87.48,-243
9.68,-87.48,-243
9.70,-87.48,-243
9.72,-87.48,-243
9.74,-87.84,-244
9.76,-87.84,-244
9.78,-87.84,-244
9.80,-87.84,-244
9.82,-87.84,-244
9.84,-87.84,-244
9.86,-87.84,-244
9.88,-87.84,-244
9.90,-87.84,-244
9.92,-87.84,-244
9.94,-87.84,-244
9.96,-87.84,-244
9.98,-87.84,-244
10.00,-87.84,-244
10.02,-87.84,-244
10.04,-87.84,-244
10.06,-87.84,-244
10.08,-87.84,-244
10.10,-87.84,-244
10.12,-87.84,-244
10.14,-88.20,-245
10.16,-88.20,-245
10.18,-88.20,-245
10.20,-88.20,-245
10.22,-88.20,-245
10.24,-88.20,-245
10.26,-88.20,-245
10.28,-88.20,-245
10.30,-88.20,-245
10.32,-88.20,-245
10.34,-88.20,-245
10.36,-88.20,-245
10.38,-88.56,-246
10.40,-88.56,-246
10.42,-88.56,-246
10.44,-88.56,-246
10.46,-88.56,-246
10.48,-88.56,-246
10.50,-88.56,-246
10.52,-88.56,-246
10.54,-88.56,-246
10.56,-88.56,-246
10.58,-88.56,-246
10.60,-88.56,-246
10.62,-88.56,-246
10.64,-88.56,-246
10.66,-88.56,-246
10.68,-88.56,-246
10.70,-88.56,-246
10.72,-88.56,-246
10.74,-88.56,-246
10.76,-88.56,-246
10.78,-88.56,-246
10.80,-88.56,-246
10.82,-88.56,-246
10.84,-88.56,-246
10.86,-88.56,-246
10.88,-88.56,-246
10.90,-88.56,-246
10.92,-88.56,-246
10.94,-88.56,-246
10.96,-88.56,-246
10.98,-88.56,-246
11.00,-88.56,-246
11.02,-88.56,-246
11.04,-88.56,-246
11.06,-88.56,-246
11.08,-88.56,-246
11.10,-88.92,-247
11.12,-88.92,-247
11.14,-88.92,-247
11.16,-88.92,-247
11.18,-88.92,-247
11.20,-88.92,-247
11.22,-88.92,-247
11.24,-88.92,-247
11.26,-88.92,-247
11.28,-88.92,-247
11.30,-88.92,-247
11.32,-88.92,-247
11.34,-88.92,-247
11.36,-88.92,-247
11.38,-88.92,-247
11.40,-88.92,-247
11.42,-88.92,-247
11.44,-88.92,-247
11.46,-88.92,-247
11.48,-88.92,-247
11.50,-88.92,-247
11.52,-89.28,-248
11.54,-89.28,-248
11.56,-89.28,-248
11.58,-89.28,-248
11.60,-89.28,-248
11.62,-89.28,-248
11.64,-89.28,-248
11.66,-89.28,-248
11.68,-89.28,-248
11.70,-89.28,-248
11.72,-89.28,-248
11.74,-89.28,-248
11.76,-89.28,-248
11.78,-89.28,-248
11.80,-89.28,-248
11.82,-89.28,-248
11.84,-89.28,-248
11.86,-89.28,-248
11.88,-89.28,-248
11.90,-89.28,-248
11.92,-89.28,-248
11.94,-89.28,-248
11.96,-89.28,-248
11.98,-89.28,-248
12.00,-89.28,-248
12.02,-89.28,-248
12.04,-89.28,-248
12.06,-89.28,-248
12.08,-89.28,-248
12.10,-89.28,-248
12.12,-89.28,-248
12.14,-89.28,-248
12.16,-89.64,-249
12.18,-89.64,-249
12.20,-89.64,-249
12.22,-89.64,-249
12.24,-89.64,-249
12.26,-89.64,-249
12.28,-89.64,-249
12.30,-89.64,-249
12.32,-89.64,-249
12.34,-89.64,-249
12.36,-89.64,-249
12.38,-89.64,-249
12.40,-89.64,-249
12.42,-89.64,-249
12.44,-89.64,-249
12.46,-89.64,-249
12.48,-89.64,-249
12.50,-89.64,-249
12.52,-89.64,-249
12.54,-89.64,-249
12.56,-89.64,-249
12.58,-89.64,-249
12.60,-89.64,-249
12.62,-89.64,-249
12.64,-89.64,-249
12.66,-89.64,-249
12.68,-89.64,-249
12.70,-89.64,-249
12.72,-89.64,-249
12.74,-89.64,-249
12.76,-90.00,-250
12.78,-90.00,-250
12.80,-90.00,-250
12.82,-90.00,-250
12.84,-90.00,-250
12.86,-90.00,-250
12.88,-90.00,-250
12.90,-90.00,-250
12.92,-90.00,-250
12.94,-90.00,-250
12.96,-90.00,-250
12.98,-90.00,-250
13.00,-90.00,-250
13.02,-90.00,-250
13.04,-90.00,-250
13.06,-90.00,-250
13.08,-90.00,-250
13.10,-90.00,-250
13.12,-90.00,-250
13.14,-90.00,-250
13.16,-90.00,-250
13.18,-90.00,-250
13.20,-90.00,-250
13.22,-90.00,-250
13.24,-90.00,-250
13.26,-90.00,-250
13.28,-90.00,-250
13.30,-90.00,-250
13.32,-90.00,-250
13.34,-90.00,-250
13.36,-90.00,-250
13.38,-90.00,-250
13.40,-90.00,-250
13.42,-90.00,-250
13.44,-90.00,-250
13.46,-90.00,-250
13.48,-90.00,-250
13.50,-90.00,-250
13.52,-90.00,-250
13.54,-90.00,-250
13.56,-90.00,-250
13.58,-90.36,-251
13.60,-90.36,-251
13.62,-90.36,-251
13.64,-90.36,-251
13.66,-90.36,-251
13.68,-90.36,-251
13.70,-90.00,-250
13.72,-89.64,-249
13.74,-88.56,-246
13.76,-87.12,-242
13.78,-84.96,-236
13.80,-82.44,-229
13.82,-79.20,-220
13.84,-75.60,-210
13.86,-71.64,-199
13.88,-66.96,-186
13.90,-61.92,-172
13.92,-56.16,-156
13.94,-50.40,-140
13.96,-43.92,-122
13.98,-37.08,-103
14.00,-30.24,-84
14.02,-23.04,-64
14.04,-15.48,-43
14.06,-7.92,-22
14.08,-0.36,-1
14.10,7.20,20
14.12,14.76,41
14.14,22.32,62
14.16,29.52,82
14.18,36.36,101
14.20,42.84,119
14.22,49.32,137
14.24,55.08,153
14.26,60.48,168
14.28,65.52,182
14.30,69.84,194
14.32,73.80,205
